node,quantity,mc,model,unit,verdict,note,model_sha,n_atoms,seed,written,status
w34.0_m1.00_r0.940_T130_P125,transit_fwhm_rel,1.61869,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,transit_shape_rel,1.00155,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,ramp_k2_rel,0.0485148,0.0489633,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,ramp_k3_rel,-0.00119466,-0.00121957,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,amplitude_power_law_abs,1.86651,1.81892,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,shares_abs,0.0008203,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depleted_line_abs,0.00392058,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_widening_rel_4207,0.00500439,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_widening_rel_4192,0.00552981,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_widening_rel_4154,0.00758554,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_widening_rel_4121,0.00808885,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_fwhm_rel_4207,0.0461798,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_fwhm_rel_4192,0.0498779,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_fwhm_rel_4154,0.063461,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,depletion_fwhm_rel_4121,0.0666328,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,shares_shift_abs,0.00116095,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,cycles_on_axis,0.154819,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P125,cycles_mean_over_chords,0.0235993,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:43:59,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,transit_fwhm_rel,1.61631,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,transit_shape_rel,1.00158,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,ramp_k2_rel,0.0483622,0.0492376,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,ramp_k3_rel,-0.000921985,-0.000930885,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,amplitude_power_law_abs,1.7645,1.68599,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,shares_abs,0.00146842,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depleted_line_abs,0.00427939,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_widening_rel_4207,0.00883137,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_widening_rel_4192,0.00973391,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_widening_rel_4154,0.0132298,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_widening_rel_4121,0.0140777,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_fwhm_rel_4207,0.0712959,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_fwhm_rel_4192,0.0767002,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_fwhm_rel_4154,0.096378,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,depletion_fwhm_rel_4121,0.100899,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,shares_shift_abs,0.0020463,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,cycles_on_axis,0.27671,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P175,cycles_mean_over_chords,0.0432782,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:43:14,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,transit_fwhm_rel,1.61605,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,transit_shape_rel,1.00158,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,ramp_k2_rel,0.048346,0.0492675,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,ramp_k3_rel,-0.000891858,-0.0008985,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,amplitude_power_law_abs,1.75371,1.67223,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,shares_abs,0.00153718,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depleted_line_abs,0.00431679,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_widening_rel_4207,0.00923933,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_widening_rel_4192,0.0101811,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_widening_rel_4154,0.0138255,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_widening_rel_4121,0.0147085,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_fwhm_rel_4207,0.0737708,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_fwhm_rel_4192,0.0793281,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_fwhm_rel_4154,0.0995693,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,depletion_fwhm_rel_4121,0.104239,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,shares_shift_abs,0.00214047,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,cycles_on_axis,0.289771,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P180,cycles_mean_over_chords,0.0454482,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:43:08,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,transit_fwhm_rel,1.61359,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,transit_shape_rel,1.00161,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,ramp_k2_rel,0.0481987,0.0495486,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,ramp_k3_rel,-0.000604348,-0.000584764,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,amplitude_power_law_abs,1.65507,1.54924,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,shares_abs,0.00216338,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depleted_line_abs,0.00465585,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_widening_rel_4207,0.0130079,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_widening_rel_4192,0.0143042,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_widening_rel_4154,0.0192802,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_widening_rel_4121,0.0204768,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_fwhm_rel_4207,0.0953347,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_fwhm_rel_4192,0.102252,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_fwhm_rel_4154,0.127277,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,depletion_fwhm_rel_4121,0.13296,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,shares_shift_abs,0.00300831,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,cycles_on_axis,0.410552,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P225,cycles_mean_over_chords,0.0661144,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,transit_fwhm_rel,1.62146,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,transit_shape_rel,1.00152,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,ramp_k2_rel,0.0487023,0.0486418,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,ramp_k3_rel,-0.00150627,-0.00153941,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,amplitude_power_law_abs,1.99395,1.99165,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,shares_abs,3.53666e-05,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depleted_line_abs,0.00344489,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_widening_rel_4207,0.000232902,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_widening_rel_4192,0.000258438,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_widening_rel_4154,0.000360229,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_widening_rel_4121,0.000385599,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_fwhm_rel_4207,0.00385659,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_fwhm_rel_4192,0.00420593,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_fwhm_rel_4154,0.00554125,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,depletion_fwhm_rel_4121,0.00586223,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,shares_shift_abs,5.3434e-05,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,cycles_on_axis,0.00687687,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P25,cycles_mean_over_chords,0.00101713,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:36:26,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,transit_fwhm_rel,1.61104,1.63995,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,transit_shape_rel,1.00164,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,ramp_k2_rel,0.0480559,0.0498398,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,ramp_k3_rel,-0.000297456,-0.000240973,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,amplitude_power_law_abs,1.55771,1.43289,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,shares_abs,0.00277231,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depleted_line_abs,0.00498431,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depletion_widening_rel_4207,0.016816,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depletion_widening_rel_4192,0.0184578,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depletion_widening_rel_4154,0.0247154,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depletion_widening_rel_4121,0.0262101,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T130_P270,depletion_fwhm_rel_4207,0.11533,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
