quantity,key,value,err,unit,status
beta_grid_exp_per_block,85Rb,0.0440,0.0041,chi2_red=0.854,PRELIM
beta_grid_exp_per_block,87Rb,0.0417,0.0055,chi2_red=0.854,PRELIM
beta_grid_exp_per_T_gamma_l0.398,85Rb,0.0046,0.0035,"the primary corner with the extra homogeneous component at the weighted mean kernel_k3.csv fits, 0.398 MHz. chi2_red=0.854",PRELIM
beta_err_kernel,85Rb,0.0387,,"extra-homogeneous-component axis alone (|primary - kernel cell|). NOT inside beta_err_modelform, which is defined over the three transit-and-sharing cells. docs/quantities/self-broadening.md section 4 carries the account. no parameter is at a bound in this cell",BOUND
beta_grid_exp_per_T_gamma_l0.398,87Rb,0.0050,0.0038,"the primary corner with the extra homogeneous component at the weighted mean kernel_k3.csv fits, 0.398 MHz. chi2_red=0.854",PRELIM
beta_err_kernel,87Rb,0.0383,,"extra-homogeneous-component axis alone (|primary - kernel cell|). NOT inside beta_err_modelform, which is defined over the three transit-and-sharing cells. docs/quantities/self-broadening.md section 4 carries the account. no parameter is at a bound in this cell",BOUND
beta_loo_drop,4121|85Rb,0.0428,-0.0005,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
beta_loo_drop,4121|87Rb,0.0453,+0.0020,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
sigma_loo_drop,4121|70C,2.034,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4121|90C,2.166,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4121|110C,1.555,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
beta_loo_drop,4154|85Rb,0.0444,+0.0011,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
beta_loo_drop,4154|87Rb,0.0429,-0.0004,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
sigma_loo_drop,4154|70C,2.104,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4154|90C,2.138,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4154|110C,1.555,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
beta_loo_drop,4192|85Rb,0.0377,-0.0056,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
beta_loo_drop,4192|87Rb,0.0432,-0.0002,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
sigma_loo_drop,4192|70C,1.981,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4192|90C,2.052,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4192|110C,1.558,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
beta_loo_drop,4207|85Rb,0.0445,+0.0012,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
beta_loo_drop,4207|87Rb,0.0401,-0.0032,beta with this peak dropped. Err=shift vs headline,DIAGNOSTIC
sigma_loo_drop,4207|70C,2.042,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4207|90C,2.208,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
sigma_loo_drop,4207|110C,1.493,,sigma_laser(T) with this peak dropped (MHz transition),DIAGNOSTIC
gamma_coll_mean_vs_T,70C,0.393,0.74,value=mean gamma_coll over 4 peaks (MHz). Err=density N (1e12 cm^-3),MEASURED
gamma_coll_mean_vs_T,90C,0.391,3.11,value=mean gamma_coll over 4 peaks (MHz). Err=density N (1e12 cm^-3),MEASURED
gamma_coll_mean_vs_T,110C,0.444,11.23,value=mean gamma_coll over 4 peaks (MHz). Err=density N (1e12 cm^-3),MEASURED
gamma_coll_mean_vs_T,130C,0.594,35.59,value=mean gamma_coll over 4 peaks (MHz). Err=density N (1e12 cm^-3),MEASURED
gamma_rise_factor,70to130,1.51,48.1,"value=gamma(130)/gamma(70). Err=density ratio -- far sub-linear => floor, beta is a BOUND",MEASURED
