quantity,window_mhz,value,err,note,status
snr_mu3,6,0.1521,0.0044,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.00131662, per-trace sd 0.008654. Pooled over 101 traces it reaches 1.529.",DIAGNOSTIC
snr_mu4,6,1518,44,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 113.062, per-trace sd 0.07449. Pooled over 101 traces it reaches 1.525e+04.",DIAGNOSTIC
snr_mu5,6,0.1310,0.0038,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.0416896, per-trace sd 0.3181. Pooled over 101 traces it reaches 1.317.",DIAGNOSTIC
snr_mu6,6,1152,33,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 2582.66, per-trace sd 2.242. Pooled over 101 traces it reaches 1.158e+04.",DIAGNOSTIC
snr_mu7,6,0.1168,0.0034,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -1.2482, per-trace sd 10.68. Pooled over 101 traces it reaches 1.174.",DIAGNOSTIC
snr_mu8,6,960,28,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 67514.8, per-trace sd 70.34. Pooled over 101 traces it reaches 9646.",DIAGNOSTIC
snr_mu9,6,0.1073,0.0031,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -38.1638, per-trace sd 355.7. Pooled over 101 traces it reaches 1.078.",DIAGNOSTIC
snr_mu4/mu2,6,3165,91,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 17.0215, per-trace sd 0.005378. Pooled over 101 traces it reaches 3.181e+04.",DIAGNOSTIC
snr_mu5/mu3,6,0.2141,0.0062,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 41.0485, per-trace sd 191.7. Pooled over 101 traces it reaches 2.152.",DIAGNOSTIC
snr_mu6/mu4,6,3.79e+03,,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 22.8429, per-trace sd 0.006023. Pooled over 101 traces it reaches 3.812e+04. Its standard error is 1.1e+02, outside the plain-decimal band.",DIAGNOSTIC
snr_mu7/mu5,6,0.365,0.011,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 34.8991, per-trace sd 95.57. Pooled over 101 traces it reaches 3.67.",DIAGNOSTIC
snr_mu8/mu6,6,4.42e+03,,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 26.1416, per-trace sd 0.00592. Pooled over 101 traces it reaches 4.438e+04. Its standard error is 1.3e+02, outside the plain-decimal band.",DIAGNOSTIC
snr_mu9/mu7,6,0.390,0.011,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 31.5544, per-trace sd 80.88. Pooled over 101 traces it reaches 3.921.",DIAGNOSTIC
snr_diag_k5/mu3,6,0.1323,0.0038,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean -25.3743, per-trace sd 191.7. Pooled over 101 traces it reaches 1.33.",DIAGNOSTIC
snr_mu2,12,1296,37,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 13.8958, per-trace sd 0.01072. Pooled over 101 traces it reaches 1.303e+04.",DIAGNOSTIC
snr_mu3,12,0.0563,0.0016,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.00314357, per-trace sd 0.05584. Pooled over 101 traces it reaches 0.5657.",DIAGNOSTIC
snr_mu4,12,693,20,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 751.865, per-trace sd 1.085. Pooled over 101 traces it reaches 6965.",DIAGNOSTIC
snr_mu5,12,0.0385,0.0011,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.283539, per-trace sd 7.368. Pooled over 101 traces it reaches 0.3867.",DIAGNOSTIC
snr_mu6,12,521,15,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 62923.3, per-trace sd 120.8. Pooled over 101 traces it reaches 5234.",DIAGNOSTIC
snr_mu7,12,0.02991,0.00086,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -28.0051, per-trace sd 936.3. Pooled over 101 traces it reaches 0.3006.",DIAGNOSTIC
snr_mu8,12,438,13,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 6.31253e+06, per-trace sd 1.44e+04. Pooled over 101 traces it reaches 4406.",DIAGNOSTIC
snr_mu9,12,0.02352,0.00068,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -2841.53, per-trace sd 1.208e+05. Pooled over 101 traces it reaches 0.2364.",DIAGNOSTIC
snr_mu4/mu2,12,1381,40,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 54.1073, per-trace sd 0.03918. Pooled over 101 traces it reaches 1.388e+04.",DIAGNOSTIC
snr_mu5/mu3,12,0.1030,0.0030,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 222.198, per-trace sd 2157. Pooled over 101 traces it reaches 1.035.",DIAGNOSTIC
snr_mu6/mu4,12,1804,52,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 83.6896, per-trace sd 0.04638. Pooled over 101 traces it reaches 1.813e+04.",DIAGNOSTIC
snr_mu7/mu5,12,0.1869,0.0054,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 173.828, per-trace sd 930. Pooled over 101 traces it reaches 1.878.",DIAGNOSTIC
snr_mu8/mu6,12,2230,64,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 100.321, per-trace sd 0.04498. Pooled over 101 traces it reaches 2.241e+04.",DIAGNOSTIC
snr_mu9/mu7,12,0.0639,0.0018,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 379.04, per-trace sd 5931. Pooled over 101 traces it reaches 0.6423.",DIAGNOSTIC
snr_diag_k5/mu3,12,0.0386,0.0011,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 83.2398, per-trace sd 2157. Pooled over 101 traces it reaches 0.3878.",DIAGNOSTIC
admitted_orders,,"2,4,6,8",,the orders clearing the SNR floor at every window. A DIAGNOSTIC and no longer a gate: see orders_in_likelihood,DIAGNOSTIC
refused_orders,,"3,5,7,9",,"the orders below that floor at every window. The split is exactly by parity and that is the result. They are IN the likelihood all the same, per owner order O17",DIAGNOSTIC
orders_in_likelihood,,"2,3,4,5,6,7,8,9",,"the orders the ultra-joint likelihood carries: every one, because a likelihood weights a noisy statistic by its own variance and dropping it is a decision that can bias",DIAGNOSTIC
refused_no_population_moment,,12,,"the statistics the likelihood genuinely cannot carry: odd ratios whose denominator changes sign across the replicas, so they are Cauchy-like and a replica covariance returns a finite number that keeps moving with the replica count",DIAGNOSTIC
snr_admitted_min,single_valued,438.4,,single_valued because it is one end of a span and an extreme has no spread of its own. The per-statistic rows above carry the distribution. Written as a cell so a docstring or a page cites it instead of restating it,DIAGNOSTIC
snr_admitted_max,single_valued,5810,,single_valued because it is one end of a span and an extreme has no spread of its own. The per-statistic rows above carry the distribution. Written as a cell so a docstring or a page cites it instead of restating it,DIAGNOSTIC
snr_refused_min,single_valued,0.02223,,single_valued because it is one end of a span and an extreme has no spread of its own. The per-statistic rows above carry the distribution. Written as a cell so a docstring or a page cites it instead of restating it,DIAGNOSTIC
snr_refused_max,single_valued,0.7059,,single_valued because it is one end of a span and an extreme has no spread of its own. The per-statistic rows above carry the distribution. Written as a cell so a docstring or a page cites it instead of restating it,DIAGNOSTIC
n_statistics,,45,,"every statistic the producer emits over three windows, the diagnostics included",DIAGNOSTIC
n_vector,,42,,"the statistics that ENTER the likelihood: n_statistics minus the diag_ rows, which enter none by construction",DIAGNOSTIC
n_even,,21,,even-order members of the vector,DIAGNOSTIC
n_odd,,21,,odd-order members of the vector,DIAGNOSTIC
n_admitted_vector,,33,,"of the 42 that enter the likelihood, admitted on having a population moment. This is the pair a sentence about the LIKELIHOOD binds",DIAGNOSTIC
n_admitted,,33,,"of 45 statistics over three windows, the diagnostics included, admitted on having a population moment. The retired SNR floor would have taken 21",DIAGNOSTIC
effective_rank_admitted,,6.770,0.021,"participation ratio of the admitted correlation matrix: the admitted set carries about 7 independent numbers and not its column count of 33. The uncertainty is the spread over realisation counts of (600, 1200, 4000)",DIAGNOSTIC
effective_rank_all,,11.227,0.069,"the same over every statistic including the refused ones. It reads higher because pure noise is nearly full rank, and quoting it as the information content is the trap",DIAGNOSTIC
condition_number_admitted,,4.04e+23,,an interval taken through a pseudo-inverse of a matrix this ill-conditioned is only quotable where it is stable against the cutoff. The width is and the shift is not,DIAGNOSTIC
tau_int,,2.515,,"integrated correlation time in samples, from noise_model.csv pooled over the p_sweep role",DIAGNOSTIC
rho1_measured_vs_ar1,,0.52,,"the AR(1) first lag matching tau_int is 0.051 against a measured rho1 of 0.098. The two committed numbers are not mutually consistent, the autocorrelation has a long tail, and matching tau_int is the conservative branch",DIAGNOSTIC
power_arm_traces,,101,,"counted from the manifest at role=p_sweep, and read back from this row by a clone without raw traces",DIAGNOSTIC
pooling_divisor,,101,,"POOLING OVER TRACES DIVIDES BY THE TRACE COUNT, not by the count over tau_int. The correlation time is between SAMPLES inside one trace and is already carried by the per-trace covariance these SNRs come from. Dividing again double counts it, which is the error master plan 17u records for the waist figure and which this row exists to stop repeating",DIAGNOSTIC
