row_kind,sessions,sigma_l_arm,power_scale_arm,form,m2,depletion_cycles,propagation,peak,w0_um,w0_err_parabola_um,bound_kind,w0_bound95_um,w0_lo_um,w0_hi_um,w0_lo_overdispersed_um,w0_hi_overdispersed_um,w0_shift_um,chi2,dchi2,chi2_red,n_eff,n_traces,start_spread_chi2,chi2_red_by_session,session_verdicts,nfev,beta_rel,beta_rel_err_hessian,sigma_l_shared,sigma_l_shared_err_hessian,sigma_l_P,sigma_l_P_err_hessian,sigma_l_T,sigma_l_T_err_hessian,sigma_l_E,sigma_l_E_err_hessian,sigma_l_M,sigma_l_M_err_hessian,sigma_l_Q,sigma_l_Q_err_hessian,omega_scale,omega_scale_err_hessian,gamma_l,gamma_l_err_hessian,lograte_E_4121,lograte_E_4121_err_hessian,lograte_E_4154,lograte_E_4154_err_hessian,lograte_E_4192,lograte_E_4192_err_hessian,lograte_E_4207,lograte_E_4207_err_hessian,power_scale_P,power_scale_P_err_hessian,power_scale_T,power_scale_T_err_hessian,power_scale_E,power_scale_E_err_hessian,power_scale_M,power_scale_M_err_hessian,power_scale_Q,power_scale_Q_err_hessian,beta_khz_per_1e12,beta_err_khz_hessian,beta_pull_vs_theory_hessian,beta_fixed_rel,dchi2_beta_0,dchi2_beta_theory,dchi2_beta_5x,dchi2_beta_20x,beta_profile_1sigma_hi_khz,beta_profile_ub95_khz,omega_scale_pull,s0_225_mhz,omega_225_mhz,transit_130_mhz,transit_130_depleted_mhz,z_ratio,licensed,w0_licence_edge_um,power_ratio_pred,power_ratio_pred_fitted_omega,power_ratio_meas,power_ratio_bar,power_arm_pull,power_arm_refused,power_arm_pooled_pull,power_arm_pooled_refused,power_lo_w,power_hi_w,width_slope_per_w,width_slope_err_lsq_per_w,width_slope_sign,noise_a_v,noise_b_v,noise_tau_int,at_bound,seconds,note,status
grid,PT,session,False,gaussian,1,0,,,44,,,,,,,,,76000,36,0.90,86000,159,0.043,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,2.425,0.034,,,0.792,0.019,1.180,0.041,,,,,,,0.187,0.031,0,,,,,,,,,,,,,,,,,,,,8.48,0.12,13,,1000,360,3300,180000,8.5,8.5,-4.1,0.76,0.18,1.4,1.4,0.55,True,40,1.0572,1.0069,0.9956,0.0188,3.3,True,3.3,True,,,,,,,,,,200,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.551 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.3927 to 1.3927 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +3.29, pooled over 1 sessions refused at pull +3.29. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.006 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,44,,,,,,,,,77000,1000,0.90,86000,159,0.043,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,0,,,,1.2,,0.73,,,,,,,,0.76,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-1.2,0.76,0.72,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,44,,,,,,,,,77000,360,0.90,86000,159,0.043,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,1.0,,,,1.1,,0.96,,,,,,,,0.58,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-2.1,0.76,0.55,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,44,,,,,,,,,80000,3300,0.90,86000,159,0.043,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,5.0,,,,0.20,,1.0,,,,,,,,0.0044,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.76,0.0042,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,44,,,,,,,,,250000,180000,0.90,86000,159,0.043,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,20,,,,0.20,,0.35,,,,,,,,0.0022,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.76,0.0021,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,gaussian,1,0,,,46,,,,,,,,,76000,120,0.90,86000,159,0.033,P:0.901 T:0.886,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -12)",102,2.618,0.034,,,1.030,0.016,1.374,0.036,,,,,,,0.303,0.024,0,,,,,,,,,,,,,,,,,,,,9.16,0.12,14,,1200,460,1800,160000,9.2,9.2,-3.5,0.70,0.26,1.3,1.3,0.50,True,40,1.0473,1.0081,0.9956,0.0188,2.8,True,2.8,True,,,,,,,,,,370,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.504 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.3321 to 1.3321 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +2.76, pooled over 1 sessions refused at pull +2.76. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.004 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,46,,,,,,,,,78000,1200,0.90,86000,159,0.033,P:0.901 T:0.886,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -12)",102,0,,,,1.4,,0.95,,,,,,,,0.91,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-0.46,0.70,0.79,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,370,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,46,,,,,,,,,77000,460,0.90,86000,159,0.033,P:0.901 T:0.886,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -12)",102,1.0,,,,1.3,,1.1,,,,,,,,0.73,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-1.4,0.70,0.63,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,370,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,46,,,,,,,,,78000,1800,0.90,86000,159,0.033,P:0.901 T:0.886,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -12)",102,5.0,,,,0.20,,1.3,,,,,,,,0.0085,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.70,0.0074,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,370,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,46,,,,,,,,,240000,160000,0.90,86000,159,0.033,P:0.901 T:0.886,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -12)",102,20,,,,0.20,,0.21,,,,,,,,0.00075,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.70,0.00066,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,370,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,gaussian,1,0,,,48,,,,,,,,,77000,220,0.90,86000,159,0.38,P:0.902 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -5, wing -12)",90,2.780,0.034,,,1.191,0.013,1.515,0.033,,,,,,,0.432,0.020,0,,,,,,,,,,,,,,,,,,,,9.72,0.12,16,,1300,540,1100,160000,9.7,9.7,-2.8,0.64,0.35,1.3,1.3,0.46,True,40,1.0394,1.0100,0.9956,0.0188,2.3,True,2.3,True,,,,,,,,,,200,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.463 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.2766 to 1.2766 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +2.34, pooled over 1 sessions refused at pull +2.34. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.008 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,48,,,,,,,,,78000,1300,0.90,86000,159,0.38,P:0.902 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -5, wing -12)",90,0,,,,1.5,,1.1,,,,,,,,1.1,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,0.27,0.64,0.84,1.3,1.3,0.46,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,48,,,,,,,,,77000,540,0.90,86000,159,0.38,P:0.902 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -5, wing -12)",90,1.0,,,,1.4,,1.3,,,,,,,,0.88,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-0.61,0.64,0.70,1.3,1.3,0.46,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,48,,,,,,,,,78000,1100,0.90,86000,159,0.38,P:0.902 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -5, wing -12)",90,5.0,,,,0.25,,1.5,,,,,,,,0.018,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-4.9,0.64,0.015,1.3,1.3,0.46,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,48,,,,,,,,,230000,160000,0.90,86000,159,0.38,P:0.902 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -5, wing -12)",90,20,,,,0.20,,0.41,,,,,,,,0.00080,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.64,0.00064,1.3,1.3,0.46,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,200,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,gaussian,1,0,,,50,,,,,,,,,77000,340,0.90,86000,159,0.040,P:0.904 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -4, wing -12)",72,2.907,0.034,,,1.330,0.012,1.636,0.030,,,,,,,0.544,0.019,0,,,,,,,,,,,,,,,,,,,,10.16,0.12,17,,1400,620,940,150000,10,10,-2.3,0.59,0.40,1.2,1.2,0.43,True,40,1.0336,1.0120,0.9956,0.0188,2.0,True,2.0,True,,,,,,,,,,150,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.427 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.2256 to 1.2256 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +2.03, pooled over 1 sessions refused at pull +2.03. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.003 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,50,,,,,,,,,78000,1400,0.90,86000,159,0.040,P:0.904 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -4, wing -12)",72,0,,,,1.7,,1.2,,,,,,,,1.2,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,1.0,0.59,0.88,1.2,1.2,0.43,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,150,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,50,,,,,,,,,77000,620,0.90,86000,159,0.040,P:0.904 T:0.886,"P:WING-LAW(core +1, wing -19) T:WING-LAW(core -4, wing -12)",72,1.0,,,,1.5,,1.4,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,0.091,0.59,0.75,1.2,1.2,0.43,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,150,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
