quantity,key,value,err,unit,note,status
support_achar2025,law,"Alcock-Itkin-Horrigan. single-pass absorption in MEMS cells, 293 to 353 K",,,densities follow the relation closely over the range. 2.0 per cent systematic per point. no directional offset reported,DIAGNOSTIC
support_zameroski2014,law,"Alcock-Itkin-Horrigan. the self-broadening anchor's pressure axis at 428.9 K (the anchor's own effective temperature, vanderwaals.ZAMEROSKI_7S_EFF_T_K)",,,the anchor's rate per mTorr is on this law. converted with Nesmeyanov's instead it is 19 per cent higher (the pressure and the density it implies are 16 per cent lower),DIAGNOSTIC
support_alcock1984,law,the law's own claim,,,better than 5 per cent for the practical equations,DIAGNOSTIC
ladder_fit_Nesmeyanov,beta_at_dT0,0.0064,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 0 K and the floor free (0.034 MHz). chi2 21.62 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 2 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_Nesmeyanov,beta_at_dT10,0.0110,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 10 K and the floor free (0.037 MHz). chi2 21.30 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 3 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_Nesmeyanov,dT_with_beta_pinned,0.0,,K,"the cold spot with beta pinned at theory and the floor free (0.101 MHz). chi2 61.9 for 14 dof (the floor free and dT scanned, and dT sits on its rail at 0, so the one-parameter test below is approximate at a boundary), and the profile rises monotonically to the scan's 30 K edge (chi2 61.9 at dT = 0 against 184.4 at 30 K), so the pinned model sits on the dT = 0 rail rather than being unconstrained in dT. Over the L design's 4 temperatures, 16 rows",DIAGNOSTIC
ladder_fit_Nesmeyanov,pinned_vs_free_dchi2,41.17,,,"the pinned-beta fit's chi2 minus the free fit's (61.93 against 20.76). The free fit adds beta ALONE, since dT is scanned in the pinned fit too, so this is a likelihood ratio on ONE parameter: p = 0.000. The theory value is disfavoured and not refused",DIAGNOSTIC
ladder_fit_AIH,beta_at_dT0,0.0053,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 0 K and the floor free (0.032 MHz). chi2 21.72 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 2 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_AIH,beta_at_dT10,0.0091,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 10 K and the floor free (0.036 MHz). chi2 21.40 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 3 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_AIH,dT_with_beta_pinned,0.0,,K,"the cold spot with beta pinned at theory and the floor free (0.083 MHz). chi2 44.7 for 14 dof (the floor free and dT scanned, and dT sits on its rail at 0, so the one-parameter test below is approximate at a boundary), and the profile rises monotonically to the scan's 30 K edge (chi2 44.7 at dT = 0 against 176.2 at 30 K), so the pinned model sits on the dT = 0 rail rather than being unconstrained in dT. Over the L design's 4 temperatures, 16 rows",DIAGNOSTIC
ladder_fit_AIH,pinned_vs_free_dchi2,23.83,,,"the pinned-beta fit's chi2 minus the free fit's (44.68 against 20.86). The free fit adds beta ALONE, since dT is scanned in the pinned fit too, so this is a likelihood ratio on ONE parameter: p = 0.000. The theory value is disfavoured and not refused",DIAGNOSTIC
ladder_fit_SMI,beta_at_dT0,0.0053,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 0 K and the floor free (0.034 MHz). chi2 21.57 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 2 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_SMI,beta_at_dT10,0.0092,,MHz per 1e12 cm^-3,"beta with the cold spot fixed at 10 K and the floor free (0.038 MHz). chi2 21.27 for 14 dof. theory 0.0034971775372426043 per 1e12, so this reads 3 times theory, the Lorentzian-sum degeneracy the record names (lever_crosscheck.csv)",DIAGNOSTIC
ladder_fit_SMI,dT_with_beta_pinned,0.0,,K,"the cold spot with beta pinned at theory and the floor free (0.084 MHz). chi2 44.0 for 14 dof (the floor free and dT scanned, and dT sits on its rail at 0, so the one-parameter test below is approximate at a boundary), and the profile rises monotonically to the scan's 30 K edge (chi2 44.0 at dT = 0 against 177.7 at 30 K), so the pinned model sits on the dT = 0 rail rather than being unconstrained in dT. Over the L design's 4 temperatures, 16 rows",DIAGNOSTIC
ladder_fit_SMI,pinned_vs_free_dchi2,23.21,,,"the pinned-beta fit's chi2 minus the free fit's (43.97 against 20.76). The free fit adds beta ALONE, since dT is scanned in the pinned fit too, so this is a likelihood ratio on ONE parameter: p = 0.000. The theory value is disfavoured and not refused",DIAGNOSTIC
ladder_fit_Nesmeyanov,beta,0.0366,,MHz per 1e12 cm^-3,"gamma_coll(T) of the t_sweep (16 rows) fitted as beta N(T - dT) + floor with dT on [0, 30] K. chi2 20.8 for 13 dof",DIAGNOSTIC
ladder_fit_Nesmeyanov,dT,30.0,,K,the cold-spot offset the fit prefers under this law (30 is the scan's edge),DIAGNOSTIC
ladder_fit_Nesmeyanov,floor,0.0449,,MHz,the density-independent floor the fit prefers,DIAGNOSTIC
ladder_fit_Nesmeyanov,chi2,20.76,,,for 13 degrees of freedom,DIAGNOSTIC
ladder_fit_AIH,beta,0.0295,,MHz per 1e12 cm^-3,"gamma_coll(T) of the t_sweep (16 rows) fitted as beta N(T - dT) + floor with dT on [0, 30] K. chi2 20.9 for 13 dof",DIAGNOSTIC
ladder_fit_AIH,dT,30.0,,K,the cold-spot offset the fit prefers under this law (30 is the scan's edge),DIAGNOSTIC
ladder_fit_AIH,floor,0.0434,,MHz,the density-independent floor the fit prefers,DIAGNOSTIC
ladder_fit_AIH,chi2,20.86,,,for 13 degrees of freedom,DIAGNOSTIC
ladder_fit_SMI,beta,0.0306,,MHz per 1e12 cm^-3,"gamma_coll(T) of the t_sweep (16 rows) fitted as beta N(T - dT) + floor with dT on [0, 30] K. chi2 20.8 for 13 dof",DIAGNOSTIC
ladder_fit_SMI,dT,30.0,,K,the cold-spot offset the fit prefers under this law (30 is the scan's edge),DIAGNOSTIC
ladder_fit_SMI,floor,0.0448,,MHz,the density-independent floor the fit prefers,DIAGNOSTIC
ladder_fit_SMI,chi2,20.76,,,for 13 degrees of freedom,DIAGNOSTIC
