scope,quantity,value,unit,note,status
4192,beta_self_GL,0.002195,MHz per density unit,beta_self with the mixed kernel free,DIAGNOSTIC
4192,beta_self_err_GL,0.000778,MHz per density unit,U_statistical for this peak,DIAGNOSTIC
4207,n_conditions,4,count,rungs of the density ladder this peak contributes,DIAGNOSTIC
4207,gamma_l_equiv,0.009147,MHz,"Gamma_L,equiv: a Lorentzian-EQUIVALENT width. Not f_L, not attributed to the laser by this fit, and CONDITIONAL on the pinned transit in the all/transit_assumed row",DIAGNOSTIC
4207,gamma_l_equiv_err,0.043958,MHz,one-sigma from the covariance -- OVER-covering by K2 world B's measured 0.7460 against a nominal 0.68,DIAGNOSTIC
4207,delta_chi2_G_minus_GL,0.6938,chi2,"G is nested inside G+L (gamma_l -> 0), one parameter at its boundary",DIAGNOSTIC
4207,p_boundary,2.024e-01,p-value,"half the naive one-dof tail, because the null sits on the boundary",DIAGNOSTIC
4207,beta_self_G,0.006852,MHz per density unit,beta_self with the kernel pinned Gaussian,DIAGNOSTIC
4207,beta_self_GL,0.006931,MHz per density unit,beta_self with the mixed kernel free,DIAGNOSTIC
4207,beta_self_err_GL,0.001233,MHz per density unit,U_statistical for this peak,DIAGNOSTIC
4121,beta_self_G_vs_committed,0.00e+00,relative,"the G arm against the committed beta_self. Near zero means this producer reproduces the committed construction with the kernel pinned, which is what licenses reading the G+L difference as a kernel effect",DIAGNOSTIC
4154,beta_self_G_vs_committed,0.00e+00,relative,"the G arm against the committed beta_self. Near zero means this producer reproduces the committed construction with the kernel pinned, which is what licenses reading the G+L difference as a kernel effect",DIAGNOSTIC
4192,beta_self_G_vs_committed,0.00e+00,relative,"the G arm against the committed beta_self. Near zero means this producer reproduces the committed construction with the kernel pinned, which is what licenses reading the G+L difference as a kernel effect",DIAGNOSTIC
4207,beta_self_G_vs_committed,0.00e+00,relative,"the G arm against the committed beta_self. Near zero means this producer reproduces the committed construction with the kernel pinned, which is what licenses reading the G+L difference as a kernel effect",DIAGNOSTIC
all,validation_worst_beta_G_vs_committed,0.00e+00,relative,largest disagreement between the G arm and the committed beta_self across peaks. Above about 1e-3 the two constructions differ and the kernel comparison below is not interpretable,DIAGNOSTIC
all,k2p5_gamma_l_weighted_mean,0.078459,MHz,"inverse-variance mean of the per-peak Gamma_L,equiv",DIAGNOSTIC
all,k2p5_heterogeneity_chi2,5.1302,chi2,"scatter of 4 per-peak values about their weighted mean, dof 3",DIAGNOSTIC
all,k2p5_heterogeneity_p,1.6251e-01,p-value,"small means the peaks do NOT share one Gamma_L,equiv and a global scalar is the wrong object",DIAGNOSTIC
all,k2p5_verdict,ONE_SCALAR_LICENSED,verdict,"whether a single global Gamma_L,equiv may be interpreted at all",DIAGNOSTIC
all,U_statistical,0.001165,MHz per density unit,mean one-sigma statistical error on beta_self from the G+L fits,DIAGNOSTIC
all,U_kernel,0.000709,MHz per density unit,"HALF-RANGE of beta_self across the admissible kernel class (here the two-member class {G, G+L}), on the same one-sigma-like footing as U_statistical. PROVISIONAL: K5 classifies the class and runs after K3, so this is computed over the data-allowed fallback class",DIAGNOSTIC
all,U_kernel_status,PROVISIONAL,flag,revised after K5's transfer classification replaces the fallback class,DIAGNOSTIC
all,R_kernel,0.6084,dimensionless,U_kernel / U_statistical. Above one means the kernel dominates the statistics and more repetitions of the current construction are not the priority,DIAGNOSTIC
