quantity,key,value,err,unit,note,status
contrast_isotope,t_sweep_T90_P225,0.216,0.084,MHz,measured width contrast. predicted 0.0106 from the record's terms. pull +2.44,DIAGNOSTIC
contrast_F87,t_sweep_T90_P225,-0.30,0.14,MHz,measured width contrast. predicted -0.0091 from the record's terms. pull -2.11,DIAGNOSTIC
contrast_F85,t_sweep_T90_P225,0.023,0.098,MHz,measured width contrast. predicted -0.0061 from the record's terms. pull +0.30,DIAGNOSTIC
contrast_interaction,t_sweep_T90_P225,-0.32,0.17,MHz,measured width contrast. predicted -0.0030 from the record's terms. pull -1.89,DIAGNOSTIC
contrast_isotope,t_sweep_T110_P225,-0.040,0.058,MHz,measured width contrast. predicted 0.0109 from the record's terms. pull -0.89,DIAGNOSTIC
contrast_F87,t_sweep_T110_P225,0.128,0.089,MHz,measured width contrast. predicted -0.0091 from the record's terms. pull +1.54,DIAGNOSTIC
contrast_F85,t_sweep_T110_P225,0.086,0.074,MHz,measured width contrast. predicted -0.0061 from the record's terms. pull +1.25,DIAGNOSTIC
contrast_interaction,t_sweep_T110_P225,0.04,0.12,MHz,measured width contrast. predicted -0.0030 from the record's terms. pull +0.38,DIAGNOSTIC
contrast_isotope,pooled,-0.022,0.019,MHz,"inverse-variance pool over 8 conditions. chi2 of the pool 11.9 for 7 dof (a chi2 far above it says the contrast depends on the condition, which is the P^2 or N signature). predicted mean 0.0110",DIAGNOSTIC
contrast_F87,pooled,0.079,0.032,MHz,"inverse-variance pool over 8 conditions. chi2 of the pool 10.0 for 7 dof (a chi2 far above it says the contrast depends on the condition, which is the P^2 or N signature). predicted mean -0.0057",DIAGNOSTIC
contrast_F85,pooled,0.013,0.021,MHz,"inverse-variance pool over 8 conditions. chi2 of the pool 11.3 for 7 dof (a chi2 far above it says the contrast depends on the condition, which is the P^2 or N signature). predicted mean -0.0038",DIAGNOSTIC
contrast_interaction,pooled,0.070,0.038,MHz,"inverse-variance pool over 8 conditions. chi2 of the pool 12.8 for 7 dof (a chi2 far above it says the contrast depends on the condition, which is the P^2 or N signature). predicted mean -0.0019",DIAGNOSTIC
contrast_isotope,pooled_power_arm,-0.033,0.021,MHz,"inverse-variance pool over the power arm of the L (5 conditions, the 130 C corner at the maximum power in both arms). chi2 3.1 for 4 dof",DIAGNOSTIC
contrast_F87,pooled_power_arm,0.098,0.035,MHz,"inverse-variance pool over the power arm of the L (5 conditions, the 130 C corner at the maximum power in both arms). chi2 1.7 for 4 dof",DIAGNOSTIC
contrast_F85,pooled_power_arm,0.003,0.022,MHz,"inverse-variance pool over the power arm of the L (5 conditions, the 130 C corner at the maximum power in both arms). chi2 8.4 for 4 dof",DIAGNOSTIC
contrast_interaction,pooled_power_arm,0.105,0.042,MHz,"inverse-variance pool over the power arm of the L (5 conditions, the 130 C corner at the maximum power in both arms). chi2 5.5 for 4 dof",DIAGNOSTIC
contrast_isotope,pooled_temperature_arm,-0.034,0.026,MHz,"inverse-variance pool over the temperature arm of the L (4 conditions, the 130 C corner at the maximum power in both arms). chi2 10.0 for 3 dof",DIAGNOSTIC
contrast_F87,pooled_temperature_arm,0.084,0.043,MHz,"inverse-variance pool over the temperature arm of the L (4 conditions, the 130 C corner at the maximum power in both arms). chi2 8.9 for 3 dof",DIAGNOSTIC
contrast_F85,pooled_temperature_arm,0.007,0.028,MHz,"inverse-variance pool over the temperature arm of the L (4 conditions, the 130 C corner at the maximum power in both arms). chi2 3.4 for 3 dof",DIAGNOSTIC
contrast_interaction,pooled_temperature_arm,0.071,0.052,MHz,"inverse-variance pool over the temperature arm of the L (4 conditions, the 130 C corner at the maximum power in both arms). chi2 8.2 for 3 dof",DIAGNOSTIC
cycles_per_crossing_axis,P25_w64,0.0010,,,"excitation cycles on a central chord at 130 C: the saturated rate integrated along the chord, the local drive scaled as P exp(-2 v^2 t^2 / w0^2). P^2 / w0^3 in the weak-drive limit only, the core saturating at a tight waist",DIAGNOSTIC
amplitude_face_predicted,87Rb_P25_w64,0.00011,,ln,"predicted ln(4207/4121) minus ln(1.667): the higher-branching line (4121, BRANCHING_F 0.372) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
amplitude_face_predicted,85Rb_P25_w64,0.00007,,ln,"predicted ln(4192/4154) minus ln(1.400): the higher-branching line (4154, BRANCHING_F 0.348) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
cycles_per_crossing_axis,P75_w64,0.0093,,,"excitation cycles on a central chord at 130 C: the saturated rate integrated along the chord, the local drive scaled as P exp(-2 v^2 t^2 / w0^2). P^2 / w0^3 in the weak-drive limit only, the core saturating at a tight waist",DIAGNOSTIC
amplitude_face_predicted,87Rb_P75_w64,0.00099,,ln,"predicted ln(4207/4121) minus ln(1.667): the higher-branching line (4121, BRANCHING_F 0.372) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
amplitude_face_predicted,85Rb_P75_w64,0.00066,,ln,"predicted ln(4192/4154) minus ln(1.400): the higher-branching line (4154, BRANCHING_F 0.348) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
cycles_per_crossing_axis,P125_w64,0.0257,,,"excitation cycles on a central chord at 130 C: the saturated rate integrated along the chord, the local drive scaled as P exp(-2 v^2 t^2 / w0^2). P^2 / w0^3 in the weak-drive limit only, the core saturating at a tight waist",DIAGNOSTIC
amplitude_face_predicted,87Rb_P125_w64,0.00273,,ln,"predicted ln(4207/4121) minus ln(1.667): the higher-branching line (4121, BRANCHING_F 0.372) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
amplitude_face_predicted,85Rb_P125_w64,0.00182,,ln,"predicted ln(4192/4154) minus ln(1.400): the higher-branching line (4154, BRANCHING_F 0.348) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
cycles_per_crossing_axis,P175_w64,0.0498,,,"excitation cycles on a central chord at 130 C: the saturated rate integrated along the chord, the local drive scaled as P exp(-2 v^2 t^2 / w0^2). P^2 / w0^3 in the weak-drive limit only, the core saturating at a tight waist",DIAGNOSTIC
amplitude_face_predicted,87Rb_P175_w64,0.00529,,ln,"predicted ln(4207/4121) minus ln(1.667): the higher-branching line (4121, BRANCHING_F 0.372) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
amplitude_face_predicted,85Rb_P175_w64,0.00352,,ln,"predicted ln(4192/4154) minus ln(1.400): the higher-branching line (4154, BRANCHING_F 0.348) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
cycles_per_crossing_axis,P225_w64,0.0814,,,"excitation cycles on a central chord at 130 C: the saturated rate integrated along the chord, the local drive scaled as P exp(-2 v^2 t^2 / w0^2). P^2 / w0^3 in the weak-drive limit only, the core saturating at a tight waist",DIAGNOSTIC
amplitude_face_predicted,87Rb_P225_w64,0.00863,,ln,"predicted ln(4207/4121) minus ln(1.667): the higher-branching line (4121, BRANCHING_F 0.372) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
amplitude_face_predicted,85Rb_P225_w64,0.00574,,ln,"predicted ln(4192/4154) minus ln(1.400): the higher-branching line (4154, BRANCHING_F 0.348) is depleted more, so the ratio sits ABOVE the thermal law by this much",DIAGNOSTIC
cycles_per_crossing_axis,P225_w40,0.288,,,"the same at the campaign's waists, 225 mW",DIAGNOSTIC
amplitude_face_predicted,87Rb_P225_w40,0.0301,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
amplitude_face_predicted,85Rb_P225_w40,0.0201,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
cycles_per_crossing_axis,P225_w25,0.654,,,"the same at the campaign's waists, 225 mW",DIAGNOSTIC
amplitude_face_predicted,87Rb_P225_w25,0.0669,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
amplitude_face_predicted,85Rb_P225_w25,0.0445,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
cycles_per_crossing_axis,P225_w16,0.795,,,"the same at the campaign's waists, 225 mW",DIAGNOSTIC
amplitude_face_predicted,87Rb_P225_w16,0.0806,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
amplitude_face_predicted,85Rb_P225_w16,0.0536,,ln,the campaign's reach on this face at that waist,DIAGNOSTIC
amplitude_face_measured,87Rb_P25,-0.248,0.050,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4207 over 4121, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.44 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,85Rb_P25,0.145,0.030,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4192 over 4154, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.17 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,87Rb_P75,-0.195,0.021,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4207 over 4121, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.44 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,85Rb_P75,0.110,0.027,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4192 over 4154, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.17 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,87Rb_P125,-0.060,0.022,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4207 over 4121, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.44 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,85Rb_P125,0.118,0.022,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4192 over 4154, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.17 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,87Rb_P175,0.058,0.019,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4207 over 4121, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.44 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,85Rb_P175,0.076,0.013,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4192 over 4154, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.17 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,87Rb_P225,0.1517,0.0055,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4207 over 4121, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.44 in the log, which is the bar on the archive",DIAGNOSTIC
amplitude_face_measured,85Rb_P225,0.1188,0.0084,ln,"ln of the median-free mean of the canonical RF-off peak heights, 4192 over 4154, minus the thermal law, at 130 C. the statistical error only, and amplitude_ratios.csv's between-block systematic on this ratio is 0.17 in the log, which is the bar on the archive",DIAGNOSTIC
predicted_isotope_contrast,law,0.01169,,,"85Rb transit over 87Rb transit minus one, the root of the mass ratio",DIAGNOSTIC
branching_difference,87Rb_F2_minus_F1,-0.1490,,,cascade.BRANCHING_F,DIAGNOSTIC
branching_difference,85Rb_F3_minus_F2,-0.0993,,,cascade.BRANCHING_F,DIAGNOSTIC
