quantity,key,value,err,unit,note,status
exponent_weak_drive,along12_w16um,-0.340,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along12_w16um,0.606,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
object_distance,along3,28.12,,mm,"1/(1/f - 1/s'), thin lens, the detector in focus",DIAGNOSTIC
magnification,along3,1.778,,,s'/s,DIAGNOSTIC
collected_length,along3,1.69,,mm,the cathode's dimension along the beam over the magnification,DIAGNOSTIC
collected_fraction,along3,0.041,,,"2 arctan(L / 2 z_R) / pi, the ramp's axial weight inside the window. the record's prediction_band cell is the 12 mm reading",DIAGNOSTIC
x_L_over_2zR,along3_w64um,0.065,,,"L / 2 z_R at that waist, z_R 12.95 mm",DIAGNOSTIC
exponent_weak_drive,along3_w64um,-1.994,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along3_w64um,-1.912,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along3_w40um,0.167,,,"L / 2 z_R at that waist, z_R 5.06 mm",DIAGNOSTIC
exponent_weak_drive,along3_w40um,-1.964,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along3_w40um,-1.521,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along3_w25um,0.427,,,"L / 2 z_R at that waist, z_R 1.98 mm",DIAGNOSTIC
exponent_weak_drive,along3_w25um,-1.790,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along3_w25um,-0.491,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along3_w16um,1.042,,,"L / 2 z_R at that waist, z_R 0.81 mm",DIAGNOSTIC
exponent_weak_drive,along3_w16um,-1.240,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along3_w16um,0.208,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
exponent_on_axis_per_atom,all,-4.000,,,the on-axis rate per atom goes as I0^2. the volume integral gives two of those powers to the atom count w0^2 L,DIAGNOSTIC
waist_from_a_15pct_budget,along12,7.8,,per cent,"sigma(ln w0) = 0.15 / |exponent| at the record's orientation: what a 15 per cent absolute budget would constrain the waist to, once the chain is calibrated",DIAGNOSTIC
branching_795nm,chain,0.3409,,,"the 6S decays that take the 5P1/2 leg, rb5s6s.detection.ir_branching_5p12",DIAGNOSTIC
quantum_efficiency,chain,0.060,0.010,,"owner, 2026-09-13: 6 +- 1 per cent in the chain at 795 nm (8 per cent cathode)",DIAGNOSTIC
filter_transmission,chain,1.00,,,"OPEN: not on record. docs/plan/12 spans 0.5 to 1, and the predicted rate below is at 1",DIAGNOSTIC
retro_ratio,chain,0.94,,,the two-photon rate goes as 4 rho (the k-sum-zero coupling). the physical span 0.7 to 1 moves the prediction by 0.7 to 1.06 of the row,DIAGNOSTIC
noise_bandwidth,chain,1000,,Hz,1 / (2 dt) at the 0.5 ms stored spacing of the boxcar,DIAGNOSTIC
excess_noise_factor,chain,1.00,,,"OPEN: the photomultiplier's excess-noise factor is not on record. the measured rate scales with it, and 1.2 to 1.5 is the usual span",DIAGNOSTIC
density_Steck_130C,chain,2.943e+13,,cm^-3,rb5s6s.density.number_density_cm3 at the set point,DIAGNOSTIC
density_AIH_130C,chain,3.559e+13,,cm^-3,"Alcock-Itkin-Horrigan at the set point, as run_density_laws carries it",DIAGNOSTIC
solid_angle_fraction,D6mm,0.0028,,,Omega / 4 pi of that clear aperture at the object distance. the aperture is an open item and these three span it,DIAGNOSTIC
solid_angle_fraction,D12.7mm,0.0123,,,Omega / 4 pi of that clear aperture at the object distance. the aperture is an open item and these three span it,DIAGNOSTIC
solid_angle_fraction,D25.4mm,0.0443,,,Omega / 4 pi of that clear aperture at the object distance. the aperture is an open item and these three span it,DIAGNOSTIC
transimpedance,chain,1e+06,,V per A,"the current-to-voltage stage, stated on the bench on 2026-09-13",DIAGNOSTIC
pmt_gain_times_excess_noise,chain,3.06e+06,,,"G F = b / (2 e R B) from the noise law's shot term at the median b of the p_sweep conditions. A bench check of the tube at its high voltage, which is not on record",DIAGNOSTIC
floor_as_dark_equivalent_rate,chain,2.76e+04,,per s times F,"the noise law's floor a read as photoelectron shot noise of a dark current, a^2 F / ((G e R)^2 2 B) at F = 1. The Johnson noise of the transimpedance over B is a thousandth of a, so the floor is the tube's dark current or the digitiser, not the resistor",DIAGNOSTIC
floor_as_dark_anode_current,chain,13.5,,nA,"the same floor as an anode dark current, G e n_dark, independent of F",DIAGNOSTIC
measured_pe_rate,4121_P25,0.0371,0.0040,1e6 per s,"peak height 0.017 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.892 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4121_P75,0.266,0.027,1e6 per s,"peak height 0.136 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.020 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4121_P125,0.719,0.073,1e6 per s,"peak height 0.332 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.923 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4121_P175,1.16,0.12,1e6 per s,"peak height 0.602 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.039 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4121_P225,2.00,0.20,1e6 per s,"peak height 0.999 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.000 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4154_P25,0.0488,0.0049,1e6 per s,"peak height 0.025 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.038 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4154_P75,0.489,0.050,1e6 per s,"peak height 0.263 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.075 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4154_P125,1.48,0.15,1e6 per s,"peak height 0.751 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.011 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4154_P175,3.52,0.35,1e6 per s,"peak height 1.590 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.904 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4154_P225,6.11,0.61,1e6 per s,"peak height 2.648 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.867 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4192_P25,0.0812,0.0084,1e6 per s,"peak height 0.040 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.987 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4192_P75,0.866,0.088,1e6 per s,"peak height 0.406 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.937 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4192_P125,2.28,0.23,1e6 per s,"peak height 1.184 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.036 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4192_P175,4.99,0.50,1e6 per s,"peak height 2.393 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.958 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4192_P225,8.97,0.90,1e6 per s,"peak height 4.194 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.935 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4207_P25,0.0524,0.0055,1e6 per s,"peak height 0.021 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.798 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4207_P75,0.370,0.038,1e6 per s,"peak height 0.187 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.009 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4207_P125,0.812,0.082,1e6 per s,"peak height 0.522 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 1.287 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4207_P175,2.16,0.22,1e6 per s,"peak height 1.051 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.974 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate,4207_P225,4.12,0.41,1e6 per s,"peak height 1.923 V (median of the condition's canonical RF-off traces) times 2 F B / b at F = 1, b = 0.934 mV from noise_model.csv. the err carries the height's standard error and the noise coefficients' 10 per cent spread across conditions, and the module's stated 1.5 to 2 method systematic is a further span",DIAGNOSTIC
measured_pe_rate_reference,4192_P225,8.972e+06,,per s,the row the predictions below are read against,DIAGNOSTIC
anode_current_peak,4192_P225,4.19,,uA,"the peak volts over the transimpedance, well inside a side-on tube's linear range",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along12_D6mm,9.730,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along12_D6mm,2.78,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along12_D12.7mm,10.368,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along12_D12.7mm,3.42,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along12_D25.4mm,10.926,0.082,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along12_D25.4mm,3.97,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along3_D6mm,9.137,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along3_D6mm,2.18,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along3_D12.7mm,9.775,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along3_D12.7mm,2.82,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,Steck_along3_D25.4mm,10.333,0.083,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,Steck_along3_D25.4mm,3.38,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along12_D6mm,9.812,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along12_D6mm,2.86,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along12_D12.7mm,10.451,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along12_D12.7mm,3.50,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along12_D25.4mm,11.008,0.082,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along12_D25.4mm,4.06,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along3_D6mm,9.219,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along3_D6mm,2.27,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along3_D12.7mm,9.858,0.084,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along3_D12.7mm,2.90,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
predicted_pe_rate_log10,AIH_along3_D25.4mm,10.415,0.083,log10 per s,"excitations in the collected length at 4192 (share 0.421 of the atoms), 225 mW, 130 C, saturation carried, times the branching, the aperture's solid angle, the QE. f, s' and QE drawn 4000 times, err the 16 to 84 half-spread. filter at 1, rho 0.94",DIAGNOSTIC
gap_log10_predicted_over_measured,AIH_along3_D25.4mm,3.46,0.22,,"log10 of the prediction over the measured 4192, 225 mW rate. the err adds the measured side's 1.5 to 2 method span (0.2 in the log) to the drawn spread. the D1 trapping, the filter and the excess-noise factor are the named terms outside it",DIAGNOSTIC
D1_optical_depth_per_mm,Steck,18.59,,per mm,"sigma_D1 (constants.SIGMA_D1_CM2, an envelope) times the absorbing share of the atoms (the level the 795 nm photon lands on) times the density. the path from the beam to the window is not on record, so this is per millimetre",DIAGNOSTIC
D1_optical_depth_per_mm,AIH,22.47,,per mm,"sigma_D1 (constants.SIGMA_D1_CM2, an envelope) times the absorbing share of the atoms (the level the 795 nm photon lands on) times the density. the path from the beam to the window is not on record, so this is per millimetre",DIAGNOSTIC
D1_trapping_effect_on_collection,open,,,,OPEN: a re-emitted photon leaves the cell from elsewhere and the collected fraction of a trapped emission is not the beam's. unpriced here and named in docs/plan/12,DIAGNOSTIC
