case,quantity,value,err,unit,basis,note,status
P_4121_25mW_130C,k6@12,-13412,4200,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -16237.1 at the same window, so the pull is +1.88. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k6@3.25,80,32,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 80.972 at the same window, so the pull is -0.12. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k6@6,-13,180,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -8.2019 at the same window, so the pull is -0.07. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7@12,11820,83000,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.0183554 at the same window, so the pull is +0.39. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7@3.25,17,18,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.000939788 at the same window, so the pull is +2.63. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7@6,-370,1100,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.00121378 at the same window, so the pull is -0.94. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k4/k2@3.25,-2.41,0.40,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.45073 at the same window, so the pull is +0.26. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5/k3@3.25,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_25mW_130C,k6/k4@3.25,-11.9,2.1,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -12.2059 at the same window, so the pull is +0.43. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7/k5@3.25,-44,21,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -28.3041 at the same window, so the pull is -2.03. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k4/k2@6,-2.57,0.61,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.40315 at the same window, so the pull is -0.78. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5/k3@6,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 1 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_25mW_130C,k6/k4@6,2,12,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.533802 at the same window, so the pull is +0.42. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7/k5@6,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 1 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_25mW_130C,k4/k2@12,13.0,5.0,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.7064 at the same window, so the pull is -0.96. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5/k3@12,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_25mW_130C,k6/k4@12,-81,35,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -78.0616 at the same window, so the pull is -0.21. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k7/k5@12,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_75mW_130C,k2@12,14.12,0.13,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.1443 at the same window, so the pull is -0.47. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k2@3.25,2.717,0.029,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.70702 at the same window, so the pull is +1.01. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k2@6,6.56,0.11,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.39409 at the same window, so the pull is +4.01. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k3@12,-0.1,1.4,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.56232e-05 at the same window, so the pull is -0.27. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k3@3.25,0.005,0.040,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.18641e-06 at the same window, so the pull is +0.36. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k3@6,-0.18,0.17,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 1.42542e-05 at the same window, so the pull is -2.89. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k4@12,193,17,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 207.982 at the same window, so the pull is -2.54. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k4@3.25,-6.69,0.20,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -6.63492 at the same window, so the pull is -0.78. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k4@6,-17.7,1.5,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -15.3718 at the same window, so the pull is -4.46. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5@12,28,41,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.00194956 at the same window, so the pull is +1.93. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5@3.25,0.03,0.74,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -3.847e-05 at the same window, so the pull is +0.10. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5@6,5.9,4.8,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.000516789 at the same window, so the pull is +3.39. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k6@12,-15102,830,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -16237.7 at the same window, so the pull is +3.80. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k6@3.25,81.8,3.9,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 80.9941 at the same window, so the pull is +0.57. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k6@6,52,38,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -7.97806 at the same window, so the pull is +4.33. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7@12,-1195,16000,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.000348454 at the same window, so the pull is -0.21. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7@3.25,-2,24,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.00118723 at the same window, so the pull is -0.24. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7@6,-297,210,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.0267885 at the same window, so the pull is -3.99. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k4/k2@3.25,-2.462,0.048,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.45101 at the same window, so the pull is -0.62. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5/k3@3.25,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 1 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_75mW_130C,k6/k4@3.25,-12.22,0.23,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -12.2072 at the same window, so the pull is -0.19. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7/k5@3.25,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 1 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_75mW_130C,k4/k2@6,-2.70,0.18,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.40406 at the same window, so the pull is -4.64. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5/k3@6,-37,11,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -36.2552 at the same window, so the pull is -0.30. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k6/k4@6,-2.8,1.9,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.519006 at the same window, so the pull is -4.81. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7/k5@6,-55,13,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -51.8364 at the same window, so the pull is -0.67. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k4/k2@12,13.6,1.1,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.7042 at the same window, so the pull is -2.55. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k5/k3@12,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_75mW_130C,k6/k4@12,-78.5,3.5,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -78.0729 at the same window, so the pull is -0.31. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_75mW_130C,k7/k5@12,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k2@12,14.09,0.17,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.1457 at the same window, so the pull is -0.97. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k2@3.25,2.704,0.029,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.7073 at the same window, so the pull is -0.31. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k2@6,6.477,0.091,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.39491 at the same window, so the pull is +2.50. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k3@12,-0.4,1.2,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.42865e-05 at the same window, so the pull is -0.92. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k3@3.25,-0.007,0.052,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 4.45257e-06 at the same window, so the pull is -0.36. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k3@6,-0.06,0.16,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 3.24699e-05 at the same window, so the pull is -1.06. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k4@12,200.7,9.0,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 207.934 at the same window, so the pull is -2.22. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k4@3.25,-6.59,0.22,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -6.63726 at the same window, so the pull is +0.64. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k4@6,-16.3,1.2,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -15.3866 at the same window, so the pull is -2.13. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5@12,31,26,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.00502939 at the same window, so the pull is +3.30. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5@3.25,0.10,0.84,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -8.00435e-05 at the same window, so the pull is +0.33. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5@6,2.6,4.2,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.00119192 at the same window, so the pull is +1.73. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k6@12,-15448,900,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -16239.1 at the same window, so the pull is +2.43. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k6@3.25,79.8,4.3,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 81.0426 at the same window, so the pull is -0.79. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k6@6,7,36,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -7.48609 at the same window, so the pull is +1.10. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7@12,342,12000,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.00608453 at the same window, so the pull is +0.08. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7@3.25,-3,25,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.00248752 at the same window, so the pull is -0.32. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7@6,-139,210,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.0620182 at the same window, so the pull is -1.85. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k4/k2@3.25,-2.435,0.056,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.45162 at the same window, so the pull is +0.81. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5/k3@3.25,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k6/k4@3.25,-12.11,0.26,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -12.2103 at the same window, so the pull is +1.05. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7/k5@3.25,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k4/k2@6,-2.52,0.15,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.40607 at the same window, so the pull is -2.02. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5/k3@6,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k6/k4@6,-0.3,2.2,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.486532 at the same window, so the pull is -1.05. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7/k5@6,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 1 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k4/k2@12,14.25,0.64,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.6994 at the same window, so the pull is -1.96. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k5/k3@12,,,,"admitted on having a population moment, never on signal-to-noise (O17)","the denominator changes sign in 2 of 5 repeats, so the ratio has no population moment",ARTIFACT
P_4121_125mW_130C,k6/k4@12,-77.0,3.3,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -78.0974 at the same window, so the pull is +0.96. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_125mW_130C,k7/k5@12,15,560,dimensionless,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -1.2098 at the same window, so the pull is +0.08. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k2@12,14.109,0.075,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.1478 at the same window, so the pull is -1.46. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k2@3.25,2.698,0.014,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.7077 at the same window, so the pull is -2.00. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k2@6,6.452,0.037,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.39612 at the same window, so the pull is +4.16. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k3@12,0.1,1.2,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.000135423 at the same window, so the pull is +0.31. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k3@3.25,-0.003,0.026,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 1.20956e-05 at the same window, so the pull is -0.36. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k3@6,0.03,0.14,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.75831e-05 at the same window, so the pull is +0.59. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k4@12,202.2,1.8,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 207.863 at the same window, so the pull is -8.45. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k4@3.25,-6.49,0.14,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -6.64072 at the same window, so the pull is +2.92. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k4@6,-15.88,0.68,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -15.4086 at the same window, so the pull is -1.90. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k5@12,6,30,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.0109506 at the same window, so the pull is +0.57. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k5@3.25,0.02,0.44,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.000203414 at the same window, so the pull is +0.14. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k5@6,-0.8,5.0,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -0.00250046 at the same window, so the pull is -0.42. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k6@12,-15762,260,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -16241.1 at the same window, so the pull is +5.07. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k6@3.25,77.6,3.1,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 81.1146 at the same window, so the pull is -3.17. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k6@6,-7,24,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -6.75712 at the same window, so the pull is -0.04. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_175mW_130C,k7@12,-1672,11000,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 0.044929 at the same window, so the pull is -0.42. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
